HitX;HitY;HitZ;Px;Py;Pz;Rx;Ry;Rz;Rw;Time
0;0;0;0;1;-10;0;0;0;1;0,02
0;0;0;0;1;-10;0;0;0;1;0,04
0,359;0;-7,761;0,2411804;0,3274244;-8,494261;0,2055544;0,07762419;-0,01635798;0,9754252;0,3733333
0,322;0;-8,193;0,2411804;0,3274244;-8,494261;0,3903216;0,1197211;-0,05127131;0,9114205;0,4194793
0,294;0;-8,327;0,2411804;0,3274244;-8,494261;0,5075935;0,1310997;-0,07847884;0,8479403;0,4280823
0,275;0;-8,395;0,2411804;0,3274244;-8,494261;0,5814045;0,1313927;-0,09582623;0,7971964;0,4323255
0,262;0;-8,435;0,2411804;0,3274244;-8,494261;0,6278277;0,130405;-0,1077622;0,7597463;0,436442
0,253;0;-8,461;0,2411804;0,3274244;-8,494261;0,6574375;0,1292005;-0,1158412;0,7332557;0,4413733
0,247;0;-8,478;0,2411804;0,3274244;-8,494261;0,6784276;0,1241987;-0,117941;0,7144234;0,4499359
0,242;0;-8,491;0,2411804;0,3274244;-8,494261;0,6932462;0,1176926;-0,1163165;0,7014475;0,4551911
0,239;0;-8,499;0,2411804;0,3274244;-8,494261;0,7037786;0,1121085;-0,1139845;0,6921958;0,4630332
0,239;0;-8,5;0,2411804;0,3274244;-8,494261;0,7051006;0,1087587;-0,1108343;0,6918963;0,4685905
0,24;0;-8,498;0,2411804;0,3274244;-8,494261;0,7032567;0,1069537;-0,1083102;0,6944494;0,4723652
0,24;0;-8,497;0,2411804;0,3274244;-8,494261;0,7021113;0,1051341;-0,1060211;0,6962371;0,4796219
0,241;0;-8,496;0,2411804;0,3274244;-8,494261;0,7014328;0,1033067;-0,1038869;0,6975151;0,483758
0,241;0;-8,495;0,2411804;0,3274244;-8,494261;0,7009761;0,1020848;-0,1024667;0,6983636;0,4873068
0,241;0;-8,495;0,2411804;0,3274244;-8,494261;0,7007582;0,1006586;-0,1009095;0,6990159;0,4931433
0,241;0;-8,495;0,2411804;0,3274244;-8,494261;0,7006108;0,09970649;-0,09987213;0,6994489;0,4968222
0,241;0;-8,495;0,2411804;0,3274244;-8,494261;0,7005116;0,09907117;-0,09918085;0,6997368;0,4997157
0,241;0;-8,494;0,2411804;0,3274244;-8,494261;0,700445;0,09864738;-0,09872018;0,6999285;0,5037118
0,241;0;-8,495;0,2411804;0,3274244;-8,494261;0,7010968;0,09766839;-0,09788713;0,6995301;0,5085933
0,241;0;-8,495;0,2411804;0,3274244;-8,494261;0,70092;0,09710127;-0,09724618;0,6998755;0,5124031
0,241;0;-8,495;0,2411804;0,3274244;-8,494261;0,7008861;0,09611189;-0,0962075;0,7001895;0,518634
0,241;0;-8,494;0,2411804;0,3274244;-8,494261;0,7008626;0,09545191;-0,09551521;0,7003981;0,5228572
0,241;0;-8,494;0,2411804;0,3274244;-8,494261;0,7008465;0,09501174;-0,09505375;0,7005368;0,5284333
0,241;0;-8,494;0,2411804;0,3274244;-8,494261;0,700918;0,09410678;-0,09413452;0,7007115;0,5347797
0,241;0;-8,494;0,2411804;0,3274244;-8,494261;0,700965;0,0935033;-0,09352168;0,7008273;0,5391238
0,241;0;-8,494;0,2411804;0,3274244;-8,494261;0,7011575;0,09187747;-0,09188952;0,7010657;0,5472999
0,241;0;-8,494;0,2411804;0,3274244;-8,494261;0,7012837;0,09079323;-0,09080119;0,7012225;0,5519307
0,241;0;-8,494;0,2411804;0,3274244;-8,494261;0,7016004;0,0882339;-0,08823904;0,7015594;0,5579374
0,241;0;-8,494;0,2411804;0,3274244;-8,494261;0,7020303;0,08468944;-0,08469272;0,7020031;0,5653965
0,241;0;-8,494;0,2411804;0,3274244;-8,494261;0,7025201;0,08048633;-0,08048843;0,702502;0,5713021
0,241;0;-8,494;0,2411804;0,3274244;-8,494261;0,7028328;0,07768262;-0,07768399;0,7028206;0,5768797
0,241;0;-8,494;0,2411804;0,3274244;-8,494261;0,7032953;0,0733583;-0,07335915;0,7032872;0,5824816
0,241;0;-8,494;0,2411804;0,3274244;-8,494261;0,7031565;0,06869151;-0,06857226;0,7043794;0,5879471
0,241;0;-8,493;0,2411804;0,3274244;-8,494261;0,7030483;0,0655737;-0,06538407;0,7050874;0,5935472
0,241;0;-8,493;0,2411804;0,3274244;-8,494261;0,7025151;0,06169862;-0,06136551;0,7063286;0,5993358
0,242;0;-8,49;0,2411804;0,3274244;-8,494261;0,7004926;0,05678688;-0,05609108;0,7091821;0,6050954
0,242;0;-8,488;0,2411804;0,3274244;-8,494261;0,6980107;0,05171767;-0,05067182;0,7124175;0,6128122
0,242;0;-8,485;0,2411804;0,3274244;-8,494261;0,6952381;0,04589608;-0,04456979;0,7159267;0,6174625
0,243;0;-8,483;0,2411804;0,3274244;-8,494261;0,6933526;0,04198363;-0,04052934;0,7182318;0,6228403
0,243;0;-8,479;0,2411804;0,3274244;-8,494261;0,6897206;0,036342;-0,03470134;0,72233;0,630316
0,243;0;-8,474;0,2411804;0,3274244;-8,494261;0,684218;0,02950233;-0,02772223;0,728153;0,6361781
0,243;0;-8,47;0,2411804;0,3274244;-8,494261;0,6804863;0,02488031;-0,02313024;0,7319729;0,6400423
0,243;0;-8,465;0,2411804;0,3274244;-8,494261;0,6741657;0,01994432;-0,01821709;0,7380861;0,647267
0,243;0;-8,457;0,2411804;0,3274244;-8,494261;0,6660564;0,01408182;-0,01257846;0,7456624;0,6515781
0,242;0;-8,452;0,2411804;0,3274244;-8,494261;0,6605786;0,01010504;-0,008892688;0,7506362;0,6566961
0,242;0;-8,445;0,2411804;0,3274244;-8,494261;0,6522962;0,004817601;-0,004146123;0,7579376;0,6650431
0,24;0;-8,431;0,2411804;0,3274244;-8,494261;0,6366639;-0,004134724;0,003413762;0,7711228;0,6708276
0,239;0;-8,418;0,2411804;0,3274244;-8,494261;0,6212644;-0,01100587;0,008727212;0,7834751;0,6760136
0,237;0;-8,403;0,2411804;0,3274244;-8,494261;0,6045819;-0,0171871;0,01304993;0,7962506;0,6877322
0,235;0;-8,387;0,2411804;0,3274244;-8,494261;0,5869442;-0,02223953;0,01613197;0,8091611;0,6955776
0,233;0;-8,372;0,2411804;0,3274244;-8,494261;0,5692998;-0,0258115;0,01788672;0,8215301;0,6994203
0,232;0;-8,361;0,2411804;0,3274244;-8,494261;0,5573867;-0,02823981;0,01897461;0,8295556;0,7056946
0,231;0;-8,347;0,2411804;0,3274244;-8,494261;0,5420737;-0,0300492;0,01940147;0,8395694;0,7128832
0,229;0;-8,331;0,2411804;0,3274244;-8,494261;0,5251024;-0,03142256;0,01940642;0,8502373;0,7189722
0,228;0;-8,32;0,2411804;0,3274244;-8,494261;0,5136709;-0,0323448;0,01938333;0,8571583;0,7229897
0,227;0;-8,306;0,2411804;0,3274244;-8,494261;0,4999709;-0,03309668;0,01912554;0,8651982;0,7295822
0,225;0;-8,291;0,2411804;0,3274244;-8,494261;0,4846787;-0,03372931;0,01870806;0,8738415;0,7349625
0,224;0;-8,28;0,2411804;0,3274244;-8,494261;0,4744006;-0,03414856;0,01842064;0,8794537;0,7390035
0,223;0;-8,267;0,2411804;0,3274244;-8,494261;0,4628818;-0,03452183;0,01804447;0,8855637;0,7461885
0,223;0;-8,253;0,2411804;0,3274244;-8,494261;0,4497464;-0,03331904;0,01679237;0,8923767;0,7519296
0,223;0;-8,239;0,2411804;0,3274244;-8,494261;0,4378135;-0,03177246;0,01548405;0,8983708;0,7593669
0,223;0;-8,224;0,2411804;0,3274244;-8,494261;0,4258842;-0,0299999;0,01413062;0,9041698;0,7645022
0,223;0;-8,214;0,2411804;0,3274244;-8,494261;0,4178875;-0,02880138;0,01325601;0,9079454;0,7697279
