HitX;HitY;HitZ;Px;Py;Pz;Rx;Ry;Rz;Rw;Time
0;2;4,95;0;2;0;0;0;0;1;0,02
0;2;4,95;0;2;0;0;0;0;1;0,04
-0,035;3,466;4,95;0;2;0;-0,1434917;-0,003454528;-0,0005008828;0,9896454;0,3733333
-0,035;3,466;4,95;0;2;0;-0,1434917;-0,003454528;-0,0005008828;0,9896454;0,4290057
-0,035;3,466;4,95;0;2;0;-0,1434917;-0,003454528;-0,0005008828;0,9896454;0,4519148
-0,035;3,466;4,95;0;2;0;-0,1434917;-0,003454528;-0,0005008828;0,9896454;0,4647202
-0,035;3,466;4,95;0;2;0;-0,1434917;-0,003454528;-0,0005008828;0,9896454;0,4781843
-0,035;3,466;4,95;0;2;0;-0,1434917;-0,003454528;-0,0005008828;0,9896454;0,4906167
-0,035;3,466;4,95;0;2;0;-0,1434917;-0,003454528;-0,0005008828;0,9896454;0,5050964
-0,035;3,466;4,95;0;2;0;-0,1434917;-0,003454528;-0,0005008828;0,9896454;0,5162253
-0,035;3,466;4,95;0;2;0;-0,1434917;-0,003454528;-0,0005008828;0,9896454;0,5295525
-0,035;3,466;4,95;0;2;0;-0,1434917;-0,003454528;-0,0005008828;0,9896454;0,5401598
-0,035;3,466;4,95;0;2;0;-0,1434917;-0,003454528;-0,0005008828;0,9896454;0,5513401
-0,035;3,466;4,95;0;2;0;-0,1434917;-0,003454528;-0,0005008828;0,9896454;0,5637975
-0,035;3,466;4,95;0;2;0;-0,1434917;-0,003454528;-0,0005008828;0,9896454;0,57502
-0,035;3,466;4,95;0;2;0;-0,1434917;-0,003454528;-0,0005008828;0,9896454;0,5859659
-0,035;3,466;4,95;0;2;0;-0,1434917;-0,003454528;-0,0005008828;0,9896454;0,5974575
-0,035;3,466;4,95;0;2;0;-0,1434917;-0,003454528;-0,0005008828;0,9896454;0,610459
-0,035;3,466;4,95;0;2;0;-0,1434917;-0,003454528;-0,0005008828;0,9896454;0,6217242
-0,035;3,466;4,95;0;2;0;-0,1434917;-0,003454528;-0,0005008828;0,9896454;0,6348457
-0,035;3,466;4,95;0;2;0;-0,1434917;-0,003454528;-0,0005008828;0,9896454;0,6457222
-0,035;3,466;4,95;0;2;0;-0,1434917;-0,003454528;-0,0005008828;0,9896454;0,6589326
-0,035;3,466;4,95;0;2;0;-0,1434917;-0,003454528;-0,0005008828;0,9896454;0,671019
-0,035;3,466;4,95;0;2;0;-0,1434917;-0,003454528;-0,0005008828;0,9896454;0,6842411
-0,035;3,466;4,95;0;2;0;-0,1434917;-0,003454528;-0,0005008828;0,9896454;0,694954
-0,035;3,466;4,95;0;2;0;-0,1434917;-0,003454528;-0,0005008828;0,9896454;0,7084258
-0,035;3,466;4,95;0;2;0;-0,1434917;-0,003454528;-0,0005008828;0,9896454;0,719709
-0,035;3,466;4,95;0;2;0;-0,1434917;-0,003454528;-0,0005008828;0,9896454;0,7315245
-0,035;3,466;4,95;0;2;0;-0,1434917;-0,003454528;-0,0005008828;0,9896454;0,7424421
-0,035;3,466;4,95;0;2;0;-0,1434917;-0,003454528;-0,0005008828;0,9896454;0,7546446
-0,035;3,466;4,95;0;2;0;-0,1434917;-0,003454528;-0,0005008828;0,9896454;0,765947
-0,035;3,466;4,95;0;2;0;-0,1434917;-0,003454528;-0,0005008828;0,9896454;0,7774526
-0,035;3,466;4,95;0;2;0;-0,1434917;-0,003454528;-0,0005008828;0,9896454;0,7873319
-0,035;3,466;4,95;0;2;0;-0,1434917;-0,003454528;-0,0005008828;0,9896454;0,7980949
-0,035;3,466;4,95;0;2;0;-0,1434917;-0,003454528;-0,0005008828;0,9896454;0,808439
-0,035;3,466;4,95;0;2;0;-0,1434917;-0,003454528;-0,0005008828;0,9896454;0,8187572
-0,035;3,466;4,95;0;2;0;-0,1434917;-0,003454528;-0,0005008828;0,9896454;0,8310789
-0,035;3,466;4,95;0;2;0;-0,1434917;-0,003454528;-0,0005008828;0,9896454;0,8420051
-0,035;3,466;4,95;0;2;0;-0,1434917;-0,003454528;-0,0005008828;0,9896454;0,8510578
-0,035;3,466;4,95;0;2;0;-0,1434917;-0,003454528;-0,0005008828;0,9896454;0,8599004
-0,035;3,466;4,95;0;2;0;-0,1434917;-0,003454528;-0,0005008828;0,9896454;0,8681282
-0,035;3,466;4,95;0;2;0;-0,1434917;-0,003454528;-0,0005008828;0,9896454;0,8774412
-0,035;3,466;4,95;0;2;0;-0,1434917;-0,003454528;-0,0005008828;0,9896454;0,8860406
-0,035;3,466;4,95;0;2;0;-0,1434917;-0,003454528;-0,0005008828;0,9896454;0,8958679
-0,035;3,466;4,95;0;2;0;-0,1434917;-0,003454528;-0,0005008828;0,9896454;0,9036791
-0,035;3,466;4,95;0;2;0;-0,1434917;-0,003454528;-0,0005008828;0,9896454;0,9123681
-0,035;3,466;4,95;0;2;0;-0,1434917;-0,003454528;-0,0005008828;0,9896454;0,9202749
-0,035;3,466;4,95;0;2;0;-0,1434917;-0,003454528;-0,0005008828;0,9896454;0,9289718
-0,035;3,466;4,95;0;2;0;-0,1434917;-0,003454528;-0,0005008828;0,9896454;0,9371665
-0,035;3,466;4,95;0;2;0;-0,1434917;-0,003454528;-0,0005008828;0,9896454;0,9470338
-0,035;3,466;4,95;0;2;0;-0,1434917;-0,003454528;-0,0005008828;0,9896454;0,9547879
-0,035;3,466;4,95;0;2;0;-0,1434917;-0,003454528;-0,0005008828;0,9896454;0,9637629
-0,035;3,466;4,95;0;2;0;-0,1434917;-0,003454528;-0,0005008828;0,9896454;0,9725197
-0,035;3,466;4,95;0;2;0;-0,1434917;-0,003454528;-0,0005008828;0,9896454;0,9819433
-0,035;3,466;4,95;0;2;0;-0,1434917;-0,003454528;-0,0005008828;0,9896454;0,9914404
-0,035;3,466;4,95;0;2;0;-0,1434917;-0,003454528;-0,0005008828;0,9896454;0,9994688
-0,035;3,466;4,95;0;2;0;-0,1434917;-0,003454528;-0,0005008828;0,9896454;1,007708
-0,035;3,466;4,95;0;2;0;-0,1434917;-0,003454528;-0,0005008828;0,9896454;1,015899
-0,035;3,466;4,95;0;2;0;-0,1434917;-0,003454528;-0,0005008828;0,9896454;1,024851
