HitX;HitY;HitZ;Px;Py;Pz;Rx;Ry;Rz;Rw;Time
0;2;4,95;0;2;0;0;0;0;1;0,02
0;2;4,95;0;2;0;0;0;0;1;0,04
-0,719;0;3,597;0;2;0;0,2457991;-0,09540093;0,02431739;0,9643081;0,3733333
-0,06;0;4,289;0;2;0;0,2164344;-0,006815778;0,001511022;0,9762722;0,4058504
0,022;0;4,289;0;2;0;0,2164389;0,002555933;-0,0005666367;0,9762927;0,4210798
0,022;0;4,289;0;2;0;0,2164389;0,002555933;-0,0005666367;0,9762927;0,4253111
0,075;0;4,288;0;2;0;0,2164314;0,008519681;-0,001888768;0,9762588;0,4298674
0,097;0;4,288;0;2;0;0,2164257;0,01107549;-0,002455377;0,9762332;0,4367414
0,097;0;4,288;0;2;0;0,2164257;0,01107549;-0,002455377;0,9762332;0,4404361
0,12;0;4,287;0;2;0;0,2164185;0,01363122;-0,003021969;0,9762009;0,445931
0,12;0;4,287;0;2;0;0,2164185;0,01363122;-0,003021969;0,9762009;0,4500506
0,15;0;4,286;0;2;0;0,2164067;0,01703871;-0,003777392;0,9761474;0,4570436
0,165;0;4,286;0;2;0;0,2163998;0,01874239;-0,004155088;0,9761161;0,4622067
0,18;0;4,285;0;2;0;0,2163922;0,020446;-0,00453277;0,9760819;0,4683007
0,18;0;4,285;0;2;0;0,2163922;0,020446;-0,00453277;0,9760819;0,4721549
0,195;0;4,285;0;2;0;0,2163839;0,02214955;-0,004910438;0,9760447;0,4765733
0,195;0;4,285;0;2;0;0,2163839;0,02214955;-0,004910438;0,9760447;0,4804133
0,21;0;4,284;0;2;0;0,216375;0,02385304;-0,005288092;0,9760046;0,4861825
0,239;0;4,282;0;2;0;0,2163552;0,02725979;-0,00604335;0,9759154;0,4917319
0,239;0;4,282;0;2;0;0,2163552;0,02725979;-0,00604335;0,9759154;0,4957995
0,239;0;4,282;0;2;0;0,2163552;0,02725979;-0,00604335;0,9759154;0,4994234
0,262;0;4,281;0;2;0;0,2163387;0,02981463;-0,006609746;0,9758407;0,5056874
0,29;0;4,26;0;2;0;0,2171657;0,03321433;-0,007393854;0,9755415;0,510748
0,29;0;4,26;0;2;0;0,2171657;0,03321433;-0,007393854;0,9755415;0,5146684
0,313;0;4,258;0;2;0;0,2171456;0,03576817;-0,007962367;0,9754512;0,5203295
0,326;0;4,238;0;2;0;0,2179825;0,0374633;-0,008374041;0,9751974;0,5252452
0,326;0;4,238;0;2;0;0,2179825;0,0374633;-0,008374041;0,9751974;0,5289266
0,341;0;4,237;0;2;0;0,2179675;0,03916529;-0,008754479;0,9751306;0,5342739
0,341;0;4,237;0;2;0;0,2179675;0,03916529;-0,008754479;0,9751306;0,5388705
0,356;0;4,235;0;2;0;0,2179519;0,04086715;-0,009134891;0,9750607;0,5434297
0,356;0;4,235;0;2;0;0,2179519;0,04086715;-0,009134891;0,9750607;0,5478092
0,37;0;4,234;0;2;0;0,2179356;0,04256888;-0,009515273;0,9749879;0,5536852
0,378;0;4,233;0;2;0;0,2179272;0,04341971;-0,009705456;0,9749504;0,558163
0,378;0;4,233;0;2;0;0,2179272;0,04341971;-0,009705456;0,9749504;0,5622393
0,385;0;4,233;0;2;0;0,2179187;0,04427049;-0,009895628;0,9749121;0,5681447
0,393;0;4,232;0;2;0;0,21791;0,04512125;-0,0100858;0,9748731;0,5729908
0,393;0;4,232;0;2;0;0,21791;0,04512125;-0,0100858;0,9748731;0,5768839
0,398;0;4,212;0;2;0;0,2187517;0,04596299;-0,01031607;0,9746429;0,5814653
0,398;0;4,212;0;2;0;0,2187517;0,04596299;-0,01031607;0,9746429;0,5865723
0,406;0;4,212;0;2;0;0,2187426;0,04681351;-0,01050696;0,9746024;0,5911931
0,406;0;4,212;0;2;0;0,2187426;0,04681351;-0,01050696;0,9746024;0,5949658
0,413;0;4,211;0;2;0;0,2187334;0,04766399;-0,01069785;0,9745612;0,6007226
0,433;0;4,19;0;2;0;0,2195549;0,05020536;-0,01131427;0,9742418;0,606298
0,433;0;4,19;0;2;0;0,2195549;0,05020536;-0,01131427;0,9742418;0,6102335
0,448;0;4,188;0;2;0;0,2195348;0,05190565;-0,01169745;0,9741527;0,6153436
0,453;0;4,169;0;2;0;0,2203745;0,05274535;-0,01193505;0,9739151;0,6210998
0,453;0;4,169;0;2;0;0,2203745;0,05274535;-0,01193505;0,9739151;0,6248755
0,47;0;4,129;0;2;0;0,2220417;0,05527294;-0,01260844;0,9733876;0,6299646
0,47;0;4,129;0;2;0;0,2220417;0,05527294;-0,01260844;0,9733876;0,6345408
0,49;0;4,108;0;2;0;0,2228572;0,05780955;-0,01324016;0,9730455;0,6392432
0,49;0;4,108;0;2;0;0,2228572;0,05780955;-0,01324016;0,9730455;0,6434218
0,521;0;4,067;0;2;0;0,2244948;0,0620298;-0,01432071;0,9723936;0,648535
0,533;0;4,048;0;2;0;0,2253179;0,06371398;-0,01476811;0,9720876;0,6544577
0,533;0;4,048;0;2;0;0,2253179;0,06371398;-0,01476811;0,9720876;0,6585025
0,556;0;4,008;0;2;0;0,2269608;0,06707957;-0,01567163;0,9714646;0,6635305
0,57;0;4,006;0;2;0;0,2269331;0,06877498;-0,01606772;0,9713461;0,6697998
0,57;0;4,006;0;2;0;0,2269331;0,06877498;-0,01606772;0,9713461;0,6735895
0,582;0;3,987;0;2;0;0,2277522;0,07045581;-0,01652526;0,9710262;0,6786485
0,582;0;3,987;0;2;0;0,2277522;0,07045581;-0,01652526;0,9710262;0,6828727
0,597;0;3,949;0;2;0;0,2294022;0,07296772;-0,01724884;0,9704396;0,688213
0,608;0;3,93;0;2;0;0,2302184;0,07464591;-0,01771434;0,9701102;0,6928028
0,608;0;3,93;0;2;0;0,2302184;0,07464591;-0,01771434;0,9701102;0,6966246
0,629;0;3,927;0;2;0;0,2301713;0,07718539;-0,01831699;0,9699114;0,7025181
0,629;0;3,927;0;2;0;0,2301713;0,07718539;-0,01831699;0,9699114;0,7070412
0,64;0;3,907;0;2;0;0,2309852;0,07886172;-0,01878752;0,969574;0,7118053
0,64;0;3,907;0;2;0;0,2309852;0,07886172;-0,01878752;0,969574;0,7159492
