HitX;HitY;HitZ;Px;Py;Pz;Rx;Ry;Rz;Rw;Time
0;0;0;0;0,5;0;0;0;0;1;0,02
0;0;0;0;0,5;0;0;0;0;1;0,04
-0,143;0;0,642;0,3193944;1,538856;0,249965;-0,4929217;0,3720289;-0,273048;-0,7376093;0,3733333
-0,164;0;0,645;0,3142486;1,544337;0,2463763;-0,4902709;0,3742424;-0,2709584;-0,7390254;0,4440627
-0,232;0;0,67;0,309474;1,575132;0,2418683;-0,4801419;0,3809065;-0,2631128;-0,7450811;0,4828467
-0,267;0;0,693;0,3084668;1,590374;0,2403793;-0,4731222;0,3832817;-0,2597056;-0,7495356;0,5011777
-0,305;0;0,726;0,3080696;1,607248;0,2389565;-0,4639494;0,3852934;-0,2575798;-0,7549521;0,529434
-0,344;0;0,76;0,3077179;1,626127;0,2371926;-0,4548085;0,3876123;-0,2556204;-0,7599764;0,5574832
-0,392;0;0,798;0,3075977;1,646713;0,23498;-0,4442931;0,3906494;-0,2530872;-0,7654696;0,5879583
-0,451;0;0,837;0,307593;1,66914;0,2324002;-0,4331603;0,3945768;-0,2490839;-0,7711281;0,617552
-0,521;0;0,885;0,3082581;1,692825;0,2295072;-0,4201441;0,3989399;-0,2441457;-0,7776366;0,6436173
-0,595;0;0,929;0,3096073;1,718051;0,2256429;-0,4081788;0,4039708;-0,2383365;-0,7831944;0,6703424
-0,678;0;0,976;0,3115586;1,744584;0,2213357;-0,396122;0,4087365;-0,2312623;-0,7890118;0,699279
-0,771;0;1,025;0,3138994;1,772674;0,2166204;-0,3828381;0,4149089;-0,2251587;-0,7940964;0,723675
-0,889;0;1,092;0,3168453;1,802626;0,2115076;-0,3671496;0,4208819;-0,2162561;-0,8008077;0,750648
-1,031;0;1,182;0,3210542;1,833148;0,2056577;-0,3476936;0,4267437;-0,2077818;-0,8085949;0,7904511
-1,174;0;1,266;0,3263687;1,86384;0,1986739;-0,3307472;0,4322687;-0,1992563;-0,8148908;0,8221879
-1,298;0;1,332;0,3338824;1,893814;0,1908529;-0,317909;0,4373129;-0,1926158;-0,8188959;0,8499072
-1,392;0;1,38;0,3427911;1,923033;0,1827643;-0,3101805;0,4404165;-0,1865429;-0,8215979;0,8797684
-1,724;0;1,547;0,3596221;1,982333;0,1673127;-0,2820675;0,4518312;-0,1702359;-0,8290394;0,9093145
-1,984;0;1,666;0,3706788;2,008462;0,1587822;-0,2634848;0,4600686;-0,1568575;-0,8332517;0,9431579
-2,108;0;1,723;0,3838627;2,033626;0,1502939;-0,2579862;0,4623668;-0,1482219;-0,8352786;0,9734171
-2,333;0;1,844;0,3953188;2,058415;0,1430454;-0,2439988;0,4665287;-0,1392131;-0,8387105;1,001993
-2,624;0;1,99;0,4090032;2,0796;0,1346929;-0,2267829;0,4726346;-0,1302898;-0,8415526;1,033051
-2,677;0;1,977;0,4239547;2,098331;0,1259795;-0,2258128;0,4768777;-0,1291263;-0,8395967;1,062236
-2,757;0;1,997;0,4373464;2,113588;0,1195292;-0,2220461;0,4802155;-0,1279642;-0,8388765;1,092973
-3,129;0;2,149;0,463946;2,147093;0,1061989;-0,2063214;0,4879677;-0,1171807;-0,8399927;1,140937
-3,507;0;2,348;0,4757048;2,162295;0,1023716;-0,1891434;0,492151;-0,1105132;-0,8424957;1,170255
-3,923;0;2,587;0,4881701;2,173569;0,09878334;-0,1720619;0,4946063;-0,1045816;-0,8454715;1,198545
-3,825;0;2,615;0,5005048;2,178761;0,09763924;-0,1755668;0,4884091;-0,1036351;-0,8484649;1,24086
-3,493;0;2,656;0,5225235;2,186538;0,09716484;-0,1883367;0,469419;-0,1007989;-0,8567466;1,292238
-3,178;0;2,724;0,5416358;2,191827;0,09944604;-0,1966895;0,4490235;-0,1039644;-0,86538;1,3557
-3,138;0;3,114;0,5590542;2,194735;0,1050642;-0,1914232;0,4203723;-0,09593565;-0,881726;1,406295
-2,734;0;3,753;0,585678;2,19721;0,1155891;-0,1886302;0,3565985;-0,08966802;-0,9106129;1,48574
-2,486;0;4,308;0,6005942;2,201704;0,1227322;-0,1821883;0,3102368;-0,08258776;-0,9293761;1,535765
-2,62;0;5,212;0,6116386;2,20794;0,1265248;-0,1613307;0,2787991;-0,07070819;-0,9440571;1,582364
-2,829;0;6,355;0,6210362;2,217337;0,1271405;-0,1408088;0,2501645;-0,05602153;-0,95627;1,627887
-3,5;0;9,385;0,6285005;2,230704;0,1267285;-0,1027215;0,2085066;-0,0365396;-0,971925;1,682664
-3,873;0;10,955;0,630267;2,23467;0,1222267;-0,08953794;0,1960599;-0,03147418;-0,9759881;1,733897
-4,733;0;15,315;0,6334764;2,244819;0,115419;-0,06724937;0,1688363;-0,01685307;-0,9832028;1,782972
-5,666;0,42;21,26;0,6350636;2,257173;0,1067572;-0,0407541;0,1442135;-0,008170206;-0,9886733;1,836002
