HitX;HitY;HitZ;Px;Py;Pz;Rx;Ry;Rz;Rw;Time
0;2;4,95;0;2;0;0;0;0;1;0,02
0;2;4,95;0;2;0;0;0;0;1;0,04
0;2;4,95;0;2;0;0;0;0;1;0,373
-0,026;2;4,95;0;2;0;0;-0,003;0;1;0,464
-0,398;2,009;4,95;0;2;0;-0,001;-0,04;0;0,999;0,49
-0,459;2,009;4,95;0;2;0;-0,001;-0,046;0;0,999;0,498
-0,52;2;4,95;0;2;0;0;-0,052;0;0,999;0,504
-0,581;2;4,95;0;2;0;0;-0,058;0;0,998;0,509
-0,581;2;4,95;0;2;0;0;-0,058;0;0,998;0,513
-0,652;1,983;4,95;0;2;0;0,002;-0,065;0;0,998;0,516
-0,652;1,983;4,95;0;2;0;0,002;-0,065;0;0,998;0,521
-0,713;1,974;4,95;0;2;0;0,003;-0,071;0;0,997;0,525
-0,775;1,956;4,95;0;2;0;0,004;-0,078;0;0,997;0,53
-0,775;1,956;4,95;0;2;0;0,004;-0,078;0;0,997;0,535
-0,828;1,939;4,95;0;2;0;0,006;-0,083;0,001;0,997;0,539
-0,828;1,939;4,95;0;2;0;0,006;-0,083;0,001;0,997;0,543
-0,926;1,912;4,95;0;2;0;0,009;-0,092;0,001;0,996;0,554
-0,926;1,912;4,95;0;2;0;0,009;-0,092;0,001;0,996;0,557
-0,962;1,894;4,95;0;2;0;0,01;-0,096;0,001;0,995;0,563
-0,998;1,877;4,95;0;2;0;0,012;-0,099;0,001;0,995;0,572
-1,034;1,85;4,95;0;2;0;0,015;-0,103;0,002;0,995;0,576
-1,052;1,832;4,95;0;2;0;0,016;-0,105;0,002;0,994;0,581
-1,052;1,832;4,95;0;2;0;0,016;-0,105;0,002;0,994;0,585
-1,07;1,814;4,95;0;2;0;0,018;-0,106;0,002;0,994;0,591
-1,088;1,805;4,95;0;2;0;0,019;-0,108;0,002;0,994;0,595
-1,088;1,805;4,95;0;2;0;0,019;-0,108;0,002;0,994;0,599
-1,106;1,779;4,95;0;2;0;0,022;-0,11;0,002;0,994;0,604
-1,106;1,779;4,95;0;2;0;0,022;-0,11;0,002;0,994;0,609
-1,125;1,761;4,95;0;2;0;0,023;-0,111;0,003;0,993;0,613
-1,125;1,761;4,95;0;2;0;0,023;-0,111;0,003;0,993;0,617
-1,134;1,743;4,95;0;2;0;0,025;-0,112;0,003;0,993;0,621
-1,134;1,743;4,95;0;2;0;0,025;-0,112;0,003;0,993;0,625
-1,143;1,725;4,95;0;2;0;0,027;-0,113;0,003;0,993;0,629
-1,143;1,725;4,95;0;2;0;0,027;-0,113;0,003;0,993;0,632
-1,152;1,707;4,95;0;2;0;0,029;-0,114;0,003;0,993;0,636
-1,161;1,698;4,95;0;2;0;0,029;-0,115;0,003;0,993;0,64
-1,161;1,698;4,95;0;2;0;0,029;-0,115;0,003;0,993;0,645
-1,161;1,68;4,95;0;2;0;0,031;-0,115;0,004;0,993;0,649
-1,161;1,68;4,95;0;2;0;0,031;-0,115;0,004;0,993;0,652
-1,17;1,662;4,95;0;2;0;0,033;-0,116;0,004;0,993;0,656
-1,17;1,662;4,95;0;2;0;0,033;-0,116;0,004;0,993;0,661
-1,179;1,653;4,95;0;2;0;0,034;-0,117;0,004;0,993;0,665
-1,188;1,626;4,95;0;2;0;0,036;-0,117;0,004;0,992;0,67
-1,188;1,626;4,95;0;2;0;0,036;-0,117;0,004;0,992;0,674
-1,188;1,608;4,95;0;2;0;0,038;-0,117;0,005;0,992;0,678
-1,188;1,608;4,95;0;2;0;0,038;-0,117;0,005;0,992;0,682
-1,198;1,599;4,95;0;2;0;0,039;-0,118;0,005;0,992;0,686
-1,198;1,599;4,95;0;2;0;0,039;-0,118;0,005;0,992;0,69
-1,198;1,59;4,95;0;2;0;0,04;-0,118;0,005;0,992;0,694
-1,198;1,59;4,95;0;2;0;0,04;-0,118;0,005;0,992;0,698
-1,198;1,572;4,95;0;2;0;0,042;-0,118;0,005;0,992;0,702
-1,207;1,563;4,95;0;2;0;0,042;-0,119;0,005;0,992;0,707
-1,207;1,563;4,95;0;2;0;0,042;-0,119;0,005;0,992;0,711
-1,198;1,554;4,95;0;2;0;0,043;-0,118;0,005;0,992;0,716
-1,198;1,554;4,95;0;2;0;0,043;-0,118;0,005;0,992;0,72
-1,198;1,545;4,95;0;2;0;0,044;-0,118;0,005;0,992;0,723
-1,198;1,545;4,95;0;2;0;0,044;-0,118;0,005;0,992;0,728
-1,198;1,537;4,95;0;2;0;0,045;-0,118;0,005;0,992;0,732
-1,198;1,537;4,95;0;2;0;0,045;-0,118;0,005;0,992;0,736
-1,198;1,537;4,95;0;2;0;0,045;-0,118;0,005;0,992;0,739
-1,198;1,528;4,95;0;2;0;0,046;-0,118;0,005;0,992;0,744
-1,198;1,528;4,95;0;2;0;0,046;-0,118;0,005;0,992;0,748
-1,198;1,528;4,95;0;2;0;0,046;-0,118;0,005;0,992;0,752
-1,198;1,528;4,95;0;2;0;0,046;-0,118;0,005;0,992;0,755
-1,188;1,519;4,95;0;2;0;0,047;-0,117;0,006;0,992;0,759
-1,188;1,519;4,95;0;2;0;0,047;-0,117;0,006;0,992;0,763
-1,188;1,51;4,95;0;2;0;0,048;-0,117;0,006;0,992;0,767
-1,179;1,51;4,95;0;2;0;0,048;-0,117;0,006;0,992;0,772
-1,179;1,51;4,95;0;2;0;0,048;-0,117;0,006;0,992;0,776
-1,179;1,51;4,95;0;2;0;0,048;-0,117;0,006;0,992;0,779
-1,179;1,51;4,95;0;2;0;0,048;-0,117;0,006;0,992;0,783
-1,179;1,51;4,95;0;2;0;0,048;-0,117;0,006;0,992;0,787
-1,179;1,51;4,95;0;2;0;0,048;-0,117;0,006;0,992;0,791
-1,17;1,51;4,95;0;2;0;0,048;-0,116;0,006;0,992;0,794
-1,17;1,51;4,95;0;2;0;0,048;-0,116;0,006;0,992;0,798
-1,17;1,51;4,95;0;2;0;0,048;-0,116;0,006;0,992;0,802
-1,17;1,51;4,95;0;2;0;0,048;-0,116;0,006;0,992;0,805
-1,161;1,51;4,95;0;2;0;0,048;-0,115;0,006;0,992;0,81
