HitX;HitY;HitZ;Px;Py;Pz;Rx;Ry;Rz;Rw;Time
0;0;0;0;0,5;0;0;0;0;1;0,02
0;0;0;0;0,5;0;0;0;0;1;0,04
-2,85;0;5,594;-0,3801547;1,661162;-0,2398711;0,1306137;-0,193803;-0,0009568617;0,9723063;0,3733333
-2,653;0;5,215;-0,3792504;1,659277;-0,2415909;0,1390985;-0,1905493;-0,0002217701;0,9717729;0,4411033
-2,526;0;4,942;-0,3795442;1,658141;-0,2431162;0,1456576;-0,1890492;0,001290026;0,9711038;0,4698488
-2,506;0;4,908;-0,3799405;1,658309;-0,2434666;0,1464118;-0,1885829;0,002277375;0,9710792;0,4854426
-2,536;0;4,987;-0,3803564;1,65858;-0,2434861;0,1441466;-0,188673;0,003389824;0,9713973;0,4977036
-2,567;0;5,065;-0,3803774;1,658245;-0,243825;0,1418047;-0,1889908;0,004971181;0,9716734;0,5108137
-2,6;0;5,135;-0,3813275;1,65907;-0,2438293;0,1399769;-0,1894512;0,00566451;0,971845;0,5234265
-2,623;0;5,185;-0,3819194;1,659302;-0,2440986;0,1386644;-0,1897511;0,006108691;0,9719719;0,539189
-2,639;0;5,222;-0,3826055;1,659376;-0,2444639;0,1376639;-0,1899204;0,006648519;0,9720775;0,5513939
-2,637;0;5,219;-0,3833306;1,659635;-0,244836;0,1375245;-0,1899338;0,007781236;0,9720863;0,5661263
-2,636;0;5,218;-0,3841039;1,659822;-0,245204;0,1372248;-0,1900971;0,009579176;0,9720806;0,5806782
-2,641;0;5,224;-0,3850597;1,65993;-0,2455238;0,1365739;-0,190521;0,01212683;0,9720609;0,5933204
-2,648;0;5,232;-0,3860917;1,660026;-0,245884;0,1358433;-0,1911111;0,01468619;0,972012;0,6067528
-2,667;0;5,262;-0,3872228;1,660058;-0,2462555;0,1346652;-0,1918596;0,0168611;0,9719933;0,6208757
-2,684;0;5,285;-0,3883471;1,660113;-0,2466989;0,1335905;-0,1926951;0,01930962;0,9719307;0,6353189
-2,693;0;5,293;-0,3894137;1,659915;-0,2472592;0,132761;-0,1934303;0,02220768;0,9718365;0,6508572
-2,691;0;5,272;-0,3904092;1,659833;-0,2478724;0,132727;-0,1940998;0,02455201;0,9716512;0,6648644
-2,676;0;5,234;-0,3914469;1,659649;-0,2485044;0,1331128;-0,1943502;0,02691821;0,9714857;0,678624
-2,653;0;5,178;-0,3924166;1,659509;-0,2491692;0,1339791;-0,1945493;0,02933324;0,9712568;0,6910279
-2,625;0;5,118;-0,3934099;1,659462;-0,249791;0,1349515;-0,1945122;0,03185081;0,9710503;0,7051337
-2,61;0;5,085;-0,3943767;1,659365;-0,2503047;0,1353079;-0,1946407;0,03423248;0,9708939;0,7195262
-2,607;0;5,08;-0,3953621;1,659262;-0,25078;0,135054;-0,1946825;0,0361873;0,97085;0,7327501
-2,61;0;5,122;-0,396091;1,659227;-0,2511116;0,1343158;-0,193471;0,03523569;0,9712295;0,7879999
-2,538;0;5,065;-0,4005847;1,658406;-0,2535968;0,1350841;-0,1899597;0,0405851;0,9716071;0,8067977
-2,524;0;5,051;-0,4005965;1,658417;-0,2534632;0,1357361;-0,1891402;0,03954182;0,9717191;0,8204489
-2,502;0;5,033;-0,401316;1,658198;-0,2535949;0,1364224;-0,1878767;0,0390396;0,9718885;0,8341241
-2,481;0;5,018;-0,4020846;1,65793;-0,2536051;0,1368971;-0,1866627;0,03920801;0,9720488;0,8470913
-2,462;0;5,011;-0,4026773;1,657465;-0,2534971;0,1371258;-0,1853629;0,03965301;0,9722473;0,8602906
-2,439;0;4,994;-0,4031717;1,656852;-0,2534184;0,1375915;-0,184132;0,04019954;0,9723929;0,8728653
-2,398;0;4,939;-0,4036413;1,655953;-0,2532983;0,1390614;-0,1825218;0,04073966;0,9724649;0,8861931
-2,336;0;4,834;-0,4041269;1,654961;-0,2532186;0,1420366;-0,1805735;0,04081652;0,9723954;0,9008904
-2,268;0;4,708;-0,4044981;1,653845;-0,2531177;0,1456491;-0,1787918;0,04109832;0,9721784;0,9156765
-2,237;0;4,637;-0,4044011;1,65336;-0,2530745;0,1478062;-0,1782986;0,04068682;0,9719607;0,9283946
-2,154;0;4,47;-0,4045949;1,651981;-0,2530489;0,1530353;-0,1762258;0,04060879;0,9715326;0,9417439
-2,071;0;4,306;-0,4047316;1,650563;-0,2529674;0,1585136;-0,1739541;0,0405545;0,9710658;0,9554976
-1,973;0;4,105;-0,4046826;1,648842;-0,2528324;0,1655608;-0,1714435;0,04112684;0,970312;0,9690104
-1,884;0;3,92;-0,4046664;1,646987;-0,2527069;0,1725056;-0,1689255;0,04189409;0,9695107;0,9840048
-1,793;0;3,728;-0,4045967;1,645301;-0,2526557;0,1803904;-0,1662651;0,04254393;0,9685067;0,9969285
-1,703;0;3,527;-0,4045373;1,643905;-0,2524858;0,1893955;-0,1637785;0,04304897;0,9671881;1,010402
