HitX;HitY;HitZ;Px;Py;Pz;Rx;Ry;Rz;Rw;Time
0;0;0;0;0,5;0;0;0;0;1;0,02
0;0;0;0;0,5;0;0;0;0;1;0,04
0,305;0;4,053;-0,098;1,18;0,907;-0,176;-0,065;0,025;-0,982;0,373
0,275;0;4,365;-0,13;1,18;1,227;-0,176;-0,066;0,025;-0,982;0,48
0,263;0;4,463;-0,141;1,18;1,333;-0,177;-0,066;0,025;-0,982;0,516
0,255;0;4,524;-0,146;1,18;1,389;-0,176;-0,065;0,026;-0,982;0,535
0,252;0;4,578;-0,151;1,18;1,433;-0,176;-0,065;0,026;-0,982;0,549
0,248;0;4,615;-0,155;1,18;1,474;-0,176;-0,065;0,026;-0,982;0,563
0,244;0;4,651;-0,159;1,18;1,514;-0,176;-0,065;0,026;-0,982;0,577
0,242;0;4,683;-0,162;1,18;1,548;-0,176;-0,066;0,026;-0,982;0,588
0,239;0;4,732;-0,167;1,18;1,593;-0,176;-0,066;0,025;-0,982;0,603
0,236;0;4,769;-0,171;1,18;1,633;-0,176;-0,066;0,025;-0,982;0,616
0,233;0;4,809;-0,175;1,18;1,674;-0,176;-0,066;0,025;-0,982;0,63
0,229;0;4,852;-0,179;1,18;1,72;-0,177;-0,066;0,025;-0,982;0,646
0,225;0;4,891;-0,183;1,18;1,76;-0,177;-0,066;0,025;-0,982;0,659
0,22;0;4,932;-0,187;1,18;1,801;-0,177;-0,066;0,025;-0,982;0,673
0,217;0;4,973;-0,191;1,18;1,839;-0,176;-0,066;0,025;-0,982;0,685
0,212;0;5,024;-0,195;1,18;1,881;-0,176;-0,066;0,025;-0,982;0,7
0,207;0;5,069;-0,199;1,18;1,92;-0,176;-0,066;0,025;-0,982;0,713
0,202;0;5,125;-0,204;1,18;1,968;-0,175;-0,065;0,025;-0,982;0,729
0,197;0;5,163;-0,208;1,18;2,008;-0,176;-0,065;0,025;-0,982;0,742
0,192;0;5,213;-0,213;1,18;2,052;-0,175;-0,065;0,025;-0,982;0,757
0,189;0;5,258;-0,217;1,181;2,088;-0,175;-0,065;0,025;-0,982;0,769
0,187;0;5,325;-0,221;1,181;2,132;-0,174;-0,065;0,024;-0,982;0,784
0,185;0;5,39;-0,225;1,181;2,173;-0,172;-0,065;0,024;-0,983;0,797
0,181;0;5,442;-0,23;1,181;2,214;-0,172;-0,065;0,024;-0,983;0,811
0,176;0;5,493;-0,234;1,181;2,256;-0,172;-0,064;0,023;-0,983;0,825
0,171;0;5,561;-0,239;1,182;2,3;-0,171;-0,064;0,022;-0,983;0,84
0,166;0;5,649;-0,243;1,183;2,337;-0,168;-0,062;0,021;-0,983;0,852
0,161;0;5,75;-0,248;1,183;2,379;-0,166;-0,061;0,021;-0,984;0,867
0,151;0;5,836;-0,253;1,184;2,422;-0,164;-0,06;0,02;-0,984;0,881
0,14;0;5,93;-0,259;1,184;2,467;-0,162;-0,058;0,02;-0,985;0,896
0,129;0;6,023;-0,264;1,185;2,509;-0,16;-0,057;0,019;-0,985;0,91
0,121;0;6,14;-0,269;1,186;2,549;-0,157;-0,055;0,018;-0,986;0,924
0,113;0;6,267;-0,274;1,186;2,584;-0,154;-0,053;0,017;-0,987;0,936
0,1;0;6,429;-0,28;1,188;2,625;-0,149;-0,051;0,016;-0,987;0,949
0,083;0;6,623;-0,287;1,189;2,67;-0,144;-0,047;0,015;-0,988;0,965
0,062;0;6,822;-0,294;1,19;2,713;-0,139;-0,044;0,014;-0,989;0,979
0,04;0;7,006;-0,3;1,191;2,752;-0,135;-0,041;0,014;-0,99;0,992
0,013;0;7,217;-0,308;1,192;2,797;-0,131;-0,037;0,013;-0,991;1,008
-0,008;0;7,525;-0,315;1,194;2,832;-0,124;-0,033;0,012;-0,992;1,02
-0,032;0;7,933;-0,323;1,196;2,871;-0,115;-0,029;0,011;-0,993;1,033
-0,061;0;8,473;-0,332;1,198;2,914;-0,106;-0,025;0,01;-0,994;1,048
-0,341;1,2;2,958;-0,341;1,2;2,956;-0,097;-0,02;0,01;-0,995;1,062
-0,15;0;9,728;-0,35;1,203;2,996;-0,088;-0,015;0,008;-0,996;1,076
-0,359;1,203;3,06;-0,36;1,206;3,037;-0,073;-0,01;0,006;-0,997;1,09
-0,369;1,204;3,116;-0,37;1,208;3,076;-0,058;-0,006;0,004;-0,998;1,103
-0,333;0;16,083;-0,381;1,211;3,121;-0,047;-0,002;0,003;-0,999;1,119
-0,456;0;19,403;-0,39;1,213;3,155;-0,037;0,002;0,003;-0,999;1,131
-0,631;0;24,982;-0,401;1,216;3,196;-0,028;0,005;0,002;-1;1,145
-1,022;0;40,775;-0,413;1,219;3,238;-0,016;0,008;0;-1;1,16
-7,381;0;338,682;-0,424;1,221;3,277;-0,002;0,01;-0,001;-1;1,174
0;0;0;-0,435;1,222;3,315;0,009;0,012;-0,003;-1;1,188
