HitX;HitY;HitZ;Px;Py;Pz;Rx;Ry;Rz;Rw;Time
0;0;0;0;0,5;0;0;0;0;1;0,02
0;0;0;0;0,5;0;0;0;0;1;0,04
-120,162;0;-2,668;0,5848169;2,253506;0,02831244;-0,01764047;0,7147382;0,004205571;-0,6991569;0,3733333
-86,968;0;-1,146;0,5827572;2,253339;0,0318566;-0,02175153;0,7115117;0,003391942;-0,7023293;0,4647858
-57,398;0;0,283;0,5798359;2,251922;0,03645463;-0,02793323;0,7050506;0,0005502488;-0,7086064;0,4986605
-47,642;0;0,719;0,5784392;2,251086;0,03869841;-0,03137306;0,7014061;-0,001388586;-0,7120698;0,5142995
-40,844;0;0,986;0,5772425;2,250083;0,04049976;-0,03434078;0,6981564;-0,003661319;-0,715112;0,5419696
-34,448;0;1,161;0,5762255;2,248766;0,04250788;-0,03809168;0,6947131;-0,006710154;-0,7182463;0,5724783
-28,641;0;1,292;0,5751027;2,247436;0,04449255;-0,04354778;0,6905277;-0,009957378;-0,7219251;0,6001165
-25,503;0;1,397;0,5738364;2,246431;0,04647034;-0,04746077;0,6870055;-0,01229759;-0,7249964;0,6280204
-23,339;0;1,425;0,5728227;2,245412;0,04804041;-0,05067685;0,6846956;-0,01435779;-0,7269234;0,6540876
-21,886;0;1,366;0,5720919;2,244482;0,04928313;-0,05336969;0,6841221;-0,01582523;-0,7272401;0,6813877
-20,425;0;1,259;0,5714008;2,243546;0,05036057;-0,05636375;0,6842885;-0,01764273;-0,7268158;0,7103831
-18,802;0;1,109;0,5706751;2,242448;0,05130541;-0,05960799;0,685106;-0,0206538;-0,7257066;0,741212
-16,994;0;0,957;0,5697711;2,240726;0,05218847;-0,06378815;0,6858656;-0,02475443;-0,7245045;0,767753
-14,822;0;0,815;0,5687087;2,238508;0,05297679;-0,0698946;0,6860462;-0,03106235;-0,7235264;0,7945053
-12,527;0;0,688;0,5673907;2,235128;0,05381555;-0,07808018;0,6856214;-0,04027211;-0,7226375;0,8213359
-10,47;0;0,588;0,566487;2,232596;0,05451836;-0,08820876;0,6845154;-0,05165325;-0,7217962;0,8505093
-9,582;0;0,513;0,5657313;2,231978;0,0550844;-0,09297001;0,6850733;-0,05891088;-0,7201115;0,8768835
-9,298;0;0,461;0,5650473;2,231083;0,05537198;-0,09445222;0,6863394;-0,06172146;-0,7184758;0,9046009
-8,982;0;0,399;0,5647495;2,22987;0,05564555;-0,09718913;0,6878027;-0,0639954;-0,7165098;0,9331266
-8,531;0;0,339;0,5642924;2,228284;0,05585613;-0,1006626;0,6890149;-0,06822488;-0,7144724;0,9615004
-7,936;0;0,279;0,5633928;2,226485;0,05573633;-0,1051224;0,6900939;-0,07507494;-0,7120979;0,9902706
-7,321;0;0,199;0,5623701;2,224116;0,05480804;-0,1106492;0,6920696;-0,0828592;-0,7084708;1,017021
-6,596;0;0,09;0,5617058;2,221362;0,05345592;-0,1187818;0,695316;-0,09308855;-0,7026814;1,04486
-6,038;0;-0,006;0,5609725;2,219958;0,05240608;-0,1266749;0,6986966;-0,1018659;-0,6967065;1,072709
-5,972;0;-0,082;0,5597145;2,220472;0,05150683;-0,1281353;0,7023193;-0,1027107;-0,6926611;1,100548
-6,182;0;-0,14;0,558874;2,220548;0,05082856;-0,1261919;0,7053698;-0,09815363;-0,6905758;1,128069
-6,371;0;-0,157;0,5581946;2,220903;0,05038372;-0,1252716;0,7060843;-0,09352154;-0,6906561;1,155199
-6,607;0;-0,135;0,5577292;2,221291;0,04993581;-0,1213948;0,7054122;-0,09067945;-0,6924118;1,183862
-6,791;0;-0,106;0,5574291;2,221523;0,04927477;-0,1177637;0,7044275;-0,08931146;-0,6942169;1,212634
-6,95;0;-0,076;0,557179;2,221426;0,04855277;-0,1145193;0,703427;-0,0883688;-0,6958928;1,240303
-6,965;0;-0,031;0,5569258;2,22118;0,04796964;-0,1131155;0,7016195;-0,08930991;-0,6978243;1,267856
-6,907;0;0,06;0,5565364;2,221205;0,04779126;-0,1134239;0,6973715;-0,09036642;-0,7018845;1,295302
-6,963;0;0,35;0,5559611;2,221968;0,05281699;-0,1111798;0,6845983;-0,09076636;-0,7146508;1,324032
-7,189;0;1,034;0,5557447;2,222645;0,0604371;-0,1051739;0,6549579;-0,08976337;-0,7429072;1,351369
-7,137;0;1,957;0,5567706;2,223336;0,07000245;-0,1010117;0,6124629;-0,09218606;-0,7785805;1,37981
-6,989;0;2,924;0,5586554;2,224384;0,08013386;-0,09997951;0,5657489;-0,09121209;-0,8133958;1,406968
-6,717;0;3,941;0,5622073;2,225795;0,09190484;-0,1026781;0,5136176;-0,08457801;-0,8476442;1,434585
-6,398;0;5,059;0,5668044;2,226975;0,1039778;-0,1031067;0,4570222;-0,07727734;-0,8800728;1,462392
-5,99;0;6,109;0,5718596;2,227826;0,114755;-0,1028384;0,4028812;-0,07030357;-0,9067351;1,490814
